name,region_id,type,population,timezone,location
Aegwynn,1,(PvP),Medium,CET,Germany
Aerie Peak,1,(PvE),Low,CET,United Kingdom
Agamaggan,1,(PvP),Low,CET,United Kingdom
Aggra (Português),1,(PvP),Medium,CET,Brazil
Aggramar,1,(PvE),Low,CET,United Kingdom
Ahn'Qiraj,1,(PvP),Low,CET,United Kingdom
Al'Akir,1,(PvP),Low,CET,United Kingdom
Alexstrasza,1,(PvE),Low,CET,Germany
Alleria,1,(PvE),Low,CET,Germany
Alonsus,1,(PvE),Low,CET,United Kingdom
Aman'Thul,1,(PvE),Low,CET,Germany
Ambossar,1,(PvE),Low,CET,Germany
Anachronos,1,(PvE),Low,CET,United Kingdom
Anetheron,1,(PvP),Low,CET,Germany
Antonidas,1,(PvE),Medium,CET,Germany
Anub'arak,1,(PvP),Low,CET,Germany
Arak-arahm,1,(PvP),Low,CET,France
Arathi,1,(PvP),Low,CET,France
Arathor,1,(PvE),Low,CET,United Kingdom
Archimonde,1,(PvP),Medium,CET,France
Area 52,1,(PvE),Low,CET,Germany
Argent Dawn,1,(RP),High,CET,United Kingdom
Arthas,1,(PvP),Low,CET,Germany
Arygos,1,(PvE),Low,CET,Germany
Ashenvale,1,(PvP),Low,CET,Russia and CIS
Aszune,1,(PvE),Low,CET,United Kingdom
Auchindoun,1,(PvP),Low,CET,United Kingdom
Azjol-Nerub,1,(PvE),New Players,CET,United Kingdom
Azshara,1,(PvP),Low,CET,Germany
Azuregos,1,(PvE),Low,CET,Russia and CIS
Azuremyst,1,(PvE),Low,CET,United Kingdom
Baelgun,1,(PvE),Low,CET,Germany
Balnazzar,1,(PvP),Low,CET,United Kingdom
Blackhand,1,(PvE),Medium,CET,Germany
Blackmoore,1,(PvP),Medium,CET,Germany
Blackrock,1,(PvP),Medium,CET,Germany
Blackscar,1,(PvP),Low,CET,Russia and CIS
Blade's Edge,1,(PvE),Low,CET,United Kingdom
Bladefist,1,(PvP),Low,CET,United Kingdom
Bloodfeather,1,(PvP),Low,CET,United Kingdom
Bloodhoof,1,(PvE),Low,CET,United Kingdom
Bloodscalp,1,(PvP),Low,CET,United Kingdom
Blutkessel,1,(PvP),Low,CET,Germany
Booty Bay,1,(PvP),Low,CET,Russia and CIS
Borean Tundra,1,(PvE),Low,CET,Russia and CIS
Boulderfist,1,(PvP),Low,CET,United Kingdom
Bronze Dragonflight,1,(PvE),Low,CET,United Kingdom
Bronzebeard,1,(PvE),Low,CET,United Kingdom
Burning Blade,1,(PvP),Medium,CET,United Kingdom
Burning Legion,1,(PvP),Medium,CET,United Kingdom
Burning Steppes,1,(PvP),Low,CET,United Kingdom
C'Thun,1,(PvP),Medium,CET,Spain
Chamber of Aspects,1,(PvE),Low,CET,United Kingdom
Chants éternels,1,(PvE),Low,CET,France
Cho'gall,1,(PvP),Low,CET,France
Chromaggus,1,(PvP),Low,CET,United Kingdom
Colinas Pardas,1,(PvE),Medium,CET,Spain
Confrérie du Thorium,1,(RP),Low,CET,France
Conseil des Ombres,1,(PvP RP),Low,CET,France
Crushridge,1,(PvP),Low,CET,United Kingdom
Culte de la Rive noire,1,(PvP RP),Low,CET,France
Daggerspine,1,(PvP),Low,CET,United Kingdom
Dalaran,1,(PvE),Medium,CET,France
Dalvengyr,1,(PvP),Low,CET,Germany
Darkmoon Faire,1,(RP),Low,CET,United Kingdom
Darksorrow,1,(PvP),Low,CET,United Kingdom
Darkspear,1,(PvE),Low,CET,United Kingdom
Das Konsortium,1,(PvP RP),Low,CET,Germany
Das Syndikat,1,(PvP RP),Low,CET,Germany
Deathguard,1,(PvP),Low,CET,Russia and CIS
Deathweaver,1,(PvP),Low,CET,Russia and CIS
Deathwing,1,(PvP),Low,CET,United Kingdom
Deepholm,1,(PvP),Low,CET,Russia and CIS
Defias Brotherhood,1,(PvP RP),Medium,CET,United Kingdom
Dentarg,1,(PvP),Medium,CET,United Kingdom
Der Mithrilorden,1,(RP),Low,CET,Germany
Der Rat von Dalaran,1,(RP),Low,CET,Germany
Der abyssische Rat,1,(PvP RP),Low,CET,Germany
Destromath,1,(PvP),Low,CET,Germany
Dethecus,1,(PvP),Low,CET,Germany
Die Aldor,1,(RP),Low,CET,Germany
Die Arguswacht,1,(PvP RP),Low,CET,Germany
Die Nachtwache,1,(RP),Low,CET,Germany
Die Silberne Hand,1,(RP),Low,CET,Germany
Die Todeskrallen,1,(PvP RP),Low,CET,Germany
Die ewige Wacht,1,(RP),Low,CET,Germany
Doomhammer,1,(PvE),Low,CET,United Kingdom
Draenor,1,(PvE),High,CET,United Kingdom
Dragonblight,1,(PvE),Low,CET,United Kingdom
Dragonmaw,1,(PvP),Low,CET,United Kingdom
Drak'thul,1,(PvP),Medium,CET,United Kingdom
Drek'Thar,1,(PvE),Low,CET,France
Dun Modr,1,(PvP),High,CET,Spain
Dun Morogh,1,(PvE),Low,CET,Germany
Dunemaul,1,(PvP),Low,CET,United Kingdom
Durotan,1,(PvE),Low,CET,Germany
Earthen Ring,1,(RP),Low,CET,United Kingdom
Echsenkessel,1,(PvP),Low,CET,Germany
Eitrigg,1,(PvE),Low,CET,France
Eldre'Thalas,1,(PvP),Low,CET,France
Elune,1,(PvE),Medium,CET,France
Emerald Dream,1,(PvE),Low,CET,United Kingdom
Emeriss,1,(PvP),Low,CET,United Kingdom
Eonar,1,(PvE),Low,CET,United Kingdom
Eredar,1,(PvP),Medium,CET,Germany
Eversong,1,(PvE),Low,CET,Russia and CIS
Executus,1,(PvP),Low,CET,United Kingdom
Exodar,1,(PvE),New Players,CET,Spain
Festung der Stürme,1,(PvP),Low,CET,Germany
Fordragon,1,(PvE),Low,CET,Russia and CIS
Forscherliga,1,(RP),Low,CET,Germany
Frostmane,1,(PvP),Low,CET,United Kingdom
Frostmourne,1,(PvP),Low,CET,Germany
Frostwhisper,1,(PvP),Low,CET,United Kingdom
Frostwolf,1,(PvP),Low,CET,Germany
Galakrond,1,(PvE),New Players,CET,Russia and CIS
Garona,1,(PvP),Low,CET,France
Garrosh,1,(PvE),Low,CET,Germany
Genjuros,1,(PvP),Low,CET,United Kingdom
Ghostlands,1,(PvE),Low,CET,United Kingdom
Gilneas,1,(PvE),Low,CET,Germany
Goldrinn,1,(PvE),Low,CET,Russia and CIS
Gordunni,1,(PvP),Medium,CET,Russia and CIS
Gorgonnash,1,(PvP),Low,CET,Germany
Greymane,1,(PvP),Low,CET,Russia and CIS
Grim Batol,1,(PvP),Medium,CET,United Kingdom
Grom,1,(PvP),Low,CET,Russia and CIS
Gul'dan,1,(PvP),Low,CET,Germany
Hakkar,1,(PvP),Low,CET,United Kingdom
Haomarush,1,(PvP),Low,CET,United Kingdom
Hellfire,1,(PvE),Low,CET,United Kingdom
Hellscream,1,(PvE),Low,CET,United Kingdom
Howling Fjord,1,(PvP),Medium,CET,Russia and CIS
Hyjal,1,(PvE),High,CET,France
Illidan,1,(PvP),Low,CET,France
Jaedenar,1,(PvP),Low,CET,United Kingdom
Kael'thas,1,(PvP),Low,CET,France
Karazhan,1,(PvP),Low,CET,United Kingdom
Kargath,1,(PvE),Low,CET,Germany
Kazzak,1,(PvP),High,CET,United Kingdom
Kel'Thuzad,1,(PvP),Low,CET,Germany
Khadgar,1,(PvE),Low,CET,United Kingdom
Khaz Modan,1,(PvE),New Players,CET,France
Khaz'goroth,1,(PvE),Low,CET,Germany
Kil'jaeden,1,(PvP),Low,CET,Germany
Kilrogg,1,(PvE),Low,CET,United Kingdom
Kirin Tor,1,(RP),Low,CET,France
Kor'gall,1,(PvP),Low,CET,United Kingdom
Krag'jin,1,(PvP),Low,CET,Germany
Krasus,1,(PvE),Low,CET,France
Kul Tiras,1,(PvE),Low,CET,United Kingdom
Kult der Verdammten,1,(PvP RP),Low,CET,Germany
