name,region_id,type,population,timezone,location
Aegwynn,2,(PvP),New Players,CST,United States
Aerie Peak,2,(PvE),Low,PST,United States
Agamaggan,2,(PvP),Low,CST,United States
Aggramar,2,(PvE),Low,CST,United States
Akama,2,(PvP),Low,CST,United States
Alexstrasza,2,(PvE),Low,CST,United States
Alleria,2,(PvE),Low,CST,United States
Altar of Storms,2,(PvP),Low,EST,United States
Alterac Mountains,2,(PvP),Low,EST,United States
Aman'Thul,2,(PvE),Low,AEDT,United States
Andorhal,2,(PvP),Low,EST,United States
Anetheron,2,(PvP),Low,EST,United States
Antonidas,2,(PvE),Low,PST,United States
Anub'arak,2,(PvP),Low,EST,United States
Anvilmar,2,(PvE),Low,PST,United States
Arathor,2,(PvE),Low,PST,United States
Archimonde,2,(PvP),Low,CST,United States
Area 52,2,(PvE),Full,EST,United States
Argent Dawn,2,(RP),Low,EST,United States
Arthas,2,(PvP),Low,EST,United States
Arygos,2,(PvE),Low,EST,United States
Auchindoun,2,(PvP),Low,EST,United States
Azgalor,2,(PvP),Low,CST,United States
Azjol-Nerub,2,(PvE),Low,MST,United States
Azralon,2,(PvP),Medium,BRST,Brazil
Azshara,2,(PvP),Low,CST,United States
Azuremyst,2,(PvE),Low,PST,United States
Baelgun,2,(PvE),Low,PST,United States
Balnazzar,2,(PvP),Low,CST,United States
Barthilas,2,(PvP),Low,AEDT,United States
Black Dragonflight,2,(PvP),Low,EST,United States
Blackhand,2,(PvE),Low,CST,United States
Blackrock,2,(PvP),Low,PST,United States
Blackwater Raiders,2,(RP),Low,PST,United States
Blackwing Lair,2,(PvP),Low,PST,United States
Blade's Edge,2,(PvE),Low,PST,United States
Bladefist,2,(PvE),Low,PST,United States
Bleeding Hollow,2,(PvP),Medium,EST,United States
Blood Furnace,2,(PvP),Low,CST,United States
Bloodhoof,2,(PvE),Low,EST,United States
Bloodscalp,2,(PvP),Low,MST,United States
Bonechewer,2,(PvP),New Players,PST,United States
Borean Tundra,2,(PvE),Low,CST,United States
Boulderfist,2,(PvP),Low,PST,United States
Bronzebeard,2,(PvE),Low,PST,United States
Burning Blade,2,(PvP),Low,EST,United States
Burning Legion,2,(PvP),Low,CST,United States
Caelestrasz,2,(PvE),Low,AEDT,United States
Cairne,2,(PvE),Low,CST,United States
Cenarion Circle,2,(RP),Low,PST,United States
Cenarius,2,(PvE),Low,PST,United States
Cho'gall,2,(PvP),Low,CST,United States
Chromaggus,2,(PvP),Low,CST,United States
Coilfang,2,(PvP),Low,PST,United States
Crushridge,2,(PvP),Low,PST,United States
Daggerspine,2,(PvP),New Players,PST,United States
Dalaran,2,(PvE),New Players,EST,United States
Dalvengyr,2,(PvP),Low,EST,United States
Dark Iron,2,(PvP),Low,PST,United States
Darkspear,2,(PvP),Low,MST,United States
Darrowmere,2,(PvE),Low,PST,United States
Dath'Remar,2,(PvE),Low,AEDT,United States
Dawnbringer,2,(PvE),Low,CST,United States
Deathwing,2,(PvP),Low,MST,United States
Demon Soul,2,(PvP),Low,EST,United States
Dentarg,2,(PvE),Low,EST,United States
Destromath,2,(PvP),Low,PST,United States
Dethecus,2,(PvP),Low,PST,United States
Detheroc,2,(PvP),Low,CST,United States
Doomhammer,2,(PvE),Low,MST,United States
Draenor,2,(PvE),Low,PST,United States
Dragonblight,2,(PvE),Low,PST,United States
Dragonmaw,2,(PvP),Low,PST,United States
Drak'Tharon,2,(PvP),Low,CST,United States
Drak'thul,2,(PvE),Low,CST,United States
Draka,2,(PvE),Low,CST,United States
Drakkari,2,(PvP),New Players,CST,Mexico
Dreadmaul,2,(PvP),Low,AEDT,United States
Drenden,2,(PvE),Low,EST,United States
Dunemaul,2,(PvP),Low,PST,United States
Durotan,2,(PvE),Low,EST,United States
Duskwood,2,(PvE),Low,EST,United States
Earthen Ring,2,(RP),Low,EST,United States
Echo Isles,2,(PvE),Low,PST,United States
Eitrigg,2,(PvE),Low,CST,United States
Eldre'Thalas,2,(PvE),Low,EST,United States
Elune,2,(PvE),Low,EST,United States
Emerald Dream,2,(PvP RP),Medium,CST,United States
Eonar,2,(PvE),Low,EST,United States
Eredar,2,(PvP),Low,EST,United States
Executus,2,(PvP),Low,EST,United States
Exodar,2,(PvE),Low,EST,United States
Farstriders,2,(RP),Low,CST,United States
Feathermoon,2,(RP),Low,PST,United States
Fenris,2,(PvE),Low,EST,United States
Firetree,2,(PvP),Low,EST,United States
Fizzcrank,2,(PvE),Low,CST,United States
Frostmane,2,(PvP),Low,CST,United States
Frostmourne,2,(PvP),Low,AEDT,United States
Frostwolf,2,(PvP),Low,PST,United States
Galakrond,2,(PvE),Low,PST,United States
Gallywix,2,(PvE),New Players,BRST,Brazil
Garithos,2,(PvP),Low,CST,United States
Garona,2,(PvE),Low,CST,United States
Garrosh,2,(PvE),Low,EST,United States
Ghostlands,2,(PvE),Low,CST,United States
Gilneas,2,(PvE),Low,EST,United States
Gnomeregan,2,(PvE),Low,PST,United States
Goldrinn,2,(PvE),Low,BRST,Brazil
Gorefiend,2,(PvP),Low,EST,United States
Gorgonnash,2,(PvP),Low,PST,United States
Greymane,2,(PvE),Low,CST,United States
Grizzly Hills,2,(PvE),Low,CST,United States
Gul'dan,2,(PvP),Low,CST,United States
Gundrak,2,(PvP),Low,AEDT,United States
Gurubashi,2,(PvP),New Players,PST,United States
Hakkar,2,(PvP),New Players,CST,United States
Haomarush,2,(PvP),Low,EST,United States
Hellscream,2,(PvE),Low,CST,United States
Hydraxis,2,(PvE),Low,CST,United States
Hyjal,2,(PvE),Low,PST,United States
Icecrown,2,(PvE),Low,MST,United States
Illidan,2,(PvP),Full,CST,United States
Jaedenar,2,(PvP),Low,EST,United States
Jubei'Thos,2,(PvP),Low,AEDT,United States
Kael'thas,2,(PvE),Low,CST,United States
Kalecgos,2,(PvP),Low,PST,United States
Kargath,2,(PvE),Low,EST,United States
Kel'Thuzad,2,(PvP),Low,MST,United States
Khadgar,2,(PvE),Low,EST,United States
Khaz Modan,2,(PvE),Low,CST,United States
Khaz'goroth,2,(PvE),Low,AEDT,United States
Kil'jaeden,2,(PvP),Low,PST,United States
Kilrogg,2,(PvE),Low,PST,United States
Kirin Tor,2,(RP),Low,CST,United States
Korgath,2,(PvP),Low,CST,United States
Korialstrasz,2,(PvE),Low,PST,United States
Kul Tiras,2,(PvE),Low,CST,United States
Laughing Skull,2,(PvP),Low,CST,United States
Lethon,2,(PvP),Low,PST,United States
Lightbringer,2,(PvE),Low,PST,United States
Lightning's Blade,2,(PvP),Low,EST,United States
Lightninghoof,2,(PvP RP),Low,CST,United States
Llane,2,(PvE),Low,EST,United States
Lothar,2,(PvE),Low,EST,United States
Madoran,2,(PvE),Low,CST,United States
Maelstrom,2,(PvP RP),Low,CST,United States
Magtheridon,2,(PvP),Low,EST,United States
Maiev,2,(PvP),Low,PST,United States
Mal'Ganis,2,(PvP),Medium,CST,United States
Malfurion,2,(PvE),Low,CST,United States
Malorne,2,(PvP),Low,CST,United States
Malygos,2,(PvE),Low,CST,United States
Mannoroth,2,(PvP),Low,EST,United States
Medivh,2,(PvE),Low,EST,United States
Misha,2,(PvE),Low,PST,United States
Mok'Nathal,2,(PvE),Low,CST,United States
Moon Guard,2,(RP),Medium,CST,United States
Moonrunner,2,(PvE),Low,PST,United States
Mug'thol,2,(PvP),Low,CST,United States
Muradin,2,(PvE),Low,CST,United States
Nagrand,2,(PvE),Low,AEDT,United States
Nathrezim,2,(PvP),Low,MST,United States
Nazgrel,2,(PvE),Low,EST,United States
Nazjatar,2,(PvP),Low,PST,United States
Nemesis,2,(PvP),Low,BRST,Brazil
Ner'zhul,2,(PvP),Low,PST,United States
Nesingwary,2,(PvE),Low,CST,United States
Nordrassil,2,(PvE),Low,PST,United States
Norgannon,2,(PvE),Low,EST,United States
Onyxia,2,(PvP),Low,PST,United States
Perenolde,2,(PvE),Low,MST,United States
Proudmoore,2,(PvE),Medium,PST,United States
Quel'Thalas,2,(PvE),Medium,CST,Mexico
Quel'dorei,2,(PvE),Low,CST,United States
Ragnaros,2,(PvP),Medium,CST,Mexico
Ravencrest,2,(PvE),Low,CST,United States
Ravenholdt,2,(PvP RP),Low,EST,United States
Rexxar,2,(PvE),Low,CST,United States
Rivendare,2,(PvP),Low,PST,United States
Runetotem,2,(PvE),Low,CST,United States
Sargeras,2,(PvP),Medium,CST,United States
Saurfang,2,(PvE),Low,AEDT,United States
Scarlet Crusade,2,(RP),Low,CST,United States
Scilla,2,(PvP),Low,EST,United States
Sen'jin,2,(PvE),Low,CST,United States
Sentinels,2,(RP),Low,PST,United States
Shadow Council,2,(RP),Low,MST,United States
Shadowmoon,2,(PvP),Low,EST,United States
Shadowsong,2,(PvE),Low,PST,United States
Shandris,2,(PvE),Low,EST,United States
Shattered Halls,2,(PvP),Low,PST,United States
Shattered Hand,2,(PvP),Low,EST,United States
Shu'halo,2,(PvE),Low,PST,United States
Silver Hand,2,(RP),Low,PST,United States
Silvermoon,2,(PvE),Low,PST,United States
Sisters of Elune,2,(RP),Low,CST,United States
Skullcrusher,2,(PvP),Low,EST,United States
Skywall,2,(PvE),Low,PST,United States
Smolderthorn,2,(PvP),Low,EST,United States
Spinebreaker,2,(PvP),Low,PST,United States
Spirestone,2,(PvP),Low,PST,United States
Staghelm,2,(PvE),Low,CST,United States
Steamwheedle Cartel,2,(RP),Low,EST,United States
Stonemaul,2,(PvP),Low,PST,United States
Stormrage,2,(PvE),Full,EST,United States
Stormreaver,2,(PvP),Low,CST,United States
Stormscale,2,(PvP),Low,PST,United States
